	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP101161.1_CP101161.1_977	CP101161.1	CP101161.1	977	922948	923430	-1	C	K07228	TrkA domain protein								TrkA-C domain [PF02080.24]					0
CP101161.1_CP101161.1_978	CP101161.1	CP101161.1	978	923514	924185	1	C	K07143	UPF0148 protein								Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27) [PF06677.15]					1
CP101161.1_CP101161.1_979	CP101161.1	CP101161.1	979	924182	926650	-1	D										Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]; DEAD/DEAH box helicase [PF00270.32]; Helix-hairpin-helix motif [PF12826.10]					0
CP101161.1_CP101161.1_980	CP101161.1	CP101161.1	980	926709	926813	-1	E															0
CP101161.1_CP101161.1_981	CP101161.1	CP101161.1	981	926881	927333	1	C	K04096	DNA processing protein								SLOG cluster4 family [PF18306.4]; DNA recombination-mediator protein A [PF02481.18]; Possible lysine decarboxylase [PF03641.17]					0
CP101161.1_CP101161.1_982	CP101161.1	CP101161.1	982	927439	930459	1	D										NPCBM-associated, NEW3 domain of alpha-galactosidase [PF10633.12]					0
CP101161.1_CP101161.1_983	CP101161.1	CP101161.1	983	930449	932887	-1	C	K07003	uncharacterized protein								MMPL family [PF03176.18]; Patched family [PF02460.21]					0
CP101161.1_CP101161.1_984	CP101161.1	CP101161.1	984	933141	933794	-1	E															0
CP101161.1_CP101161.1_985	CP101161.1	CP101161.1	985	934218	935516	1	E															0
CP101161.1_CP101161.1_986	CP101161.1	CP101161.1	986	935513	936844	1	D										Abortive infection alpha [PF14337.9]					0
CP101161.1_CP101161.1_987	CP101161.1	CP101161.1	987	936841	937677	-1	C	K02013	iron complex transport system ATP-binding protein [EC:7.2.2.-]								ABC transporter [PF00005.30]					0
CP101161.1_CP101161.1_988	CP101161.1	CP101161.1	988	937674	938822	-1	D										FecCD transport family [PF01032.21]					0
CP101161.1_CP101161.1_989	CP101161.1	CP101161.1	989	938894	939142	-1	E															0
CP101161.1_CP101161.1_990	CP101161.1	CP101161.1	990	939147	940034	-1	D										Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; FAD binding domain [PF01494.22]; Lycopene cyclase protein [PF05834.15]; FAD dependent oxidoreductase [PF12831.10]					0
CP101161.1_CP101161.1_991	CP101161.1	CP101161.1	991	940031	940513	-1	E															0
CP101161.1_CP101161.1_992	CP101161.1	CP101161.1	992	940515	941636	-1	E															0
CP101161.1_CP101161.1_993	CP101161.1	CP101161.1	993	941727	942854	-1	E															0
CP101161.1_CP101161.1_994	CP101161.1	CP101161.1	994	942924	943841	1	D										Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]					0
CP101161.1_CP101161.1_995	CP101161.1	CP101161.1	995	943914	944357	1	E															0
CP101161.1_CP101161.1_996	CP101161.1	CP101161.1	996	944358	945860	-1	E															0
CP101161.1_CP101161.1_997	CP101161.1	CP101161.1	997	946046	946642	1	E															0
CP101161.1_CP101161.1_998	CP101161.1	CP101161.1	998	946652	946891	-1	E															0
CP101161.1_CP101161.1_999	CP101161.1	CP101161.1	999	947009	947980	-1	C	K01066	acetyl esterase [EC:3.1.1.-]	MER0196564	S09X	MER0196564 - family S9 unassigned peptidases (Haloterrigena turkmenica) [S09.UPW]#S09X#{peptidase unit: 56-306}~source ADB62690~	False	0.536	250.0	2.5400000000000004e-72	alpha/beta hydrolase fold [PF07859.16]; BD-FAE [PF20434.1]; Steryl acetyl hydrolase [PF10340.12]; Carboxylesterase family [PF00135.31]; Dienelactone hydrolase family [PF01738.21]					0
CP101161.1_CP101161.1_1000	CP101161.1	CP101161.1	1000	948103	949332	1	C	K03265	peptide chain release factor subunit 1								eRF1 domain 2 [PF03464.18]; eRF1 domain 3 [PF03465.18]; Actinobacteria/chloroflexi VLRF1 release factor [PF18859.4]; Bacterial archaeo-eukaryotic release factor family 10 [PF18854.4]					0
CP101161.1_CP101161.1_1001	CP101161.1	CP101161.1	1001	949414	950553	1	D										Citrate synthase, C-terminal domain [PF00285.24]					0
CP101161.1_CP101161.1_1002	CP101161.1	CP101161.1	1002	950554	951183	-1	C	K00945	CMP/dCMP kinase [EC:2.7.4.25]								Cytidylate kinase-like family [PF13189.9]; AAA domain [PF13238.9]; AAA domain [PF13671.9]; Adenylate kinase [PF00406.25]; AAA domain [PF13207.9]					0
CP101161.1_CP101161.1_1003	CP101161.1	CP101161.1	1003	951387	952280	1	D										Metallo-beta-lactamase superfamily [PF00753.30]; Beta-lactamase superfamily domain [PF12706.10]					0
CP101161.1_CP101161.1_1004	CP101161.1	CP101161.1	1004	952290	953240	-1	D			MER0134541	S33	MER0134541 - family S33 unassigned peptidases (Rhodospirillum centenum) [S33.UPW]#S33#{peptidase unit: 29-318}~source ACJ00705~	False	0.348	162.0	3.045e-42	alpha/beta hydrolase fold [PF00561.23]; Serine aminopeptidase, S33 [PF12146.11]; Alpha/beta hydrolase family [PF12697.10]					0
CP101161.1_CP101161.1_1005	CP101161.1	CP101161.1	1005	953309	954553	-1	E															0
CP101161.1_CP101161.1_1006	CP101161.1	CP101161.1	1006	954801	954956	1	E															0
CP101161.1_CP101161.1_1007	CP101161.1	CP101161.1	1007	955508	956266	1	D										Major Facilitator Superfamily [PF07690.19]					0
CP101161.1_CP101161.1_1008	CP101161.1	CP101161.1	1008	956266	956727	1	D										Major Facilitator Superfamily [PF07690.19]					0
CP101161.1_CP101161.1_1009	CP101161.1	CP101161.1	1009	956788	957360	1	C	K11176	IMP cyclohydrolase [EC:3.5.4.10]								IMP cyclohydrolase-like protein [PF07826.14]					0
CP101161.1_CP101161.1_1010	CP101161.1	CP101161.1	1010	957412	958071	1	D										Calcineurin-like phosphoesterase superfamily domain [PF12850.10]; Calcineurin-like phosphoesterase [PF00149.31]					0
CP101161.1_CP101161.1_1011	CP101161.1	CP101161.1	1011	958068	959255	-1	D										Amino acid kinase family [PF00696.31]; ACT domain [PF13840.9]; ACT domain pair [PF19571.2]					0
CP101161.1_CP101161.1_1012	CP101161.1	CP101161.1	1012	959355	960569	-1	D										KaiC [PF06745.16]					0
CP101161.1_CP101161.1_1013	CP101161.1	CP101161.1	1013	960651	961031	1	E															0
CP101161.1_CP101161.1_1014	CP101161.1	CP101161.1	1014	961086	961424	-1	D										Halobacterial output domain 1 [PF18545.4]					0
CP101161.1_CP101161.1_1015	CP101161.1	CP101161.1	1015	961421	961888	-1	E															0
CP101161.1_CP101161.1_1016	CP101161.1	CP101161.1	1016	962093	963637	-1	C	K02323	DNA polymerase II small subunit [EC:2.7.7.7]								DNA polymerase alpha/epsilon subunit B [PF04042.19]; Calcineurin-like phosphoesterase superfamily domain [PF12850.10]					0
CP101161.1_CP101161.1_1017	CP101161.1	CP101161.1	1017	963734	964495	1	C	K13280	signal peptidase I [EC:3.4.21.89]	MER0267542	S26B	MER0267542 - archaean signal peptidase (Euryarchaeota) (Halobacterium sp. DL1) [S26.017]#S26B#{peptidase unit: 58-219}~source ZP_09027788~	False	0.708	233.0	2.153e-67						0
CP101161.1_CP101161.1_1018	CP101161.1	CP101161.1	1018	964523	965152	-1	E															0
CP101161.1_CP101161.1_1019	CP101161.1	CP101161.1	1019	965203	966486	-1	D										Glutamate/Leucine/Phenylalanine/Valine dehydrogenase [PF00208.24]; Glu/Leu/Phe/Val dehydrogenase, dimerisation domain [PF02812.21]					0
CP101161.1_CP101161.1_1020	CP101161.1	CP101161.1	1020	966490	966633	-1	E															0
CP101161.1_CP101161.1_1021	CP101161.1	CP101161.1	1021	966717	969596	-1	C	K06930	HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins								GAF and HTH_10 associated domain [PF15915.8]; HTH DNA binding domain [PF04967.15]; GAF domain [PF13492.9]; PAS fold [PF08448.13]; GAF domain [PF13185.9]					0
CP101161.1_CP101161.1_1022	CP101161.1	CP101161.1	1022	969672	970526	-1	E															0
CP101161.1_CP101161.1_1023	CP101161.1	CP101161.1	1023	970557	970937	1	C	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]								Endoribonuclease L-PSP [PF01042.24]; YjgF/chorismate_mutase-like, putative endoribonuclease [PF14588.9]					0
CP101161.1_CP101161.1_1024	CP101161.1	CP101161.1	1024	970937	971122	1	E															0
CP101161.1_CP101161.1_1025	CP101161.1	CP101161.1	1025	971495	972025	1	C	K23305	PadR family transcriptional regulator, activator of gas vesicle formation													0
CP101161.1_CP101161.1_1026	CP101161.1	CP101161.1	1026	972232	973914	1	C	K22447	archaeal chaperonin								TCP-1/cpn60 chaperonin family [PF00118.27]					0
CP101161.1_CP101161.1_1027	CP101161.1	CP101161.1	1027	973985	974509	-1	C	K03790	[ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]								Acetyltransferase (GNAT) domain [PF13302.10]; Acetyltransferase (GNAT) domain [PF13420.10]; FR47-like protein [PF08445.13]; Acetyltransferase (GNAT) domain [PF13523.9]; Acetyltransferase (GNAT) family [PF00583.28]; GNAT acetyltransferase [PF12746.10]					0
CP101161.1_CP101161.1_1028	CP101161.1	CP101161.1	1028	974565	975383	-1	E															0
CP101161.1_CP101161.1_1029	CP101161.1	CP101161.1	1029	975423	976244	-1	E															0
CP101161.1_CP101161.1_1030	CP101161.1	CP101161.1	1030	976352	977356	1	C	K19244	alanine dehydrogenase [EC:1.4.1.1]								Ornithine cyclodeaminase/mu-crystallin family [PF02423.18]					0
CP101161.1_CP101161.1_1031	CP101161.1	CP101161.1	1031	977432	978739	1	E															0
CP101161.1_CP101161.1_1032	CP101161.1	CP101161.1	1032	978736	978984	-1	E															0
CP101161.1_CP101161.1_1033	CP101161.1	CP101161.1	1033	979109	981745	1	C	K01869	leucyl-tRNA synthetase [EC:6.1.1.4]								tRNA synthetases class I (I, L, M and V) [PF00133.25]; Leucyl-tRNA synthetase, Domain 2 [PF13603.9]; tRNA synthetases class I (M) [PF09334.14]; Anticodon-binding domain of tRNA ligase [PF08264.16]; tRNA synthetases class I (C) catalytic domain [PF01406.22]					0
CP101161.1_CP101161.1_1034	CP101161.1	CP101161.1	1034	981813	983225	1	D										MatE [PF01554.21]; Lipid II flippase MurJ [PF03023.17]					0
CP101161.1_CP101161.1_1035	CP101161.1	CP101161.1	1035	983284	985647	1	C	K03726	ATP-dependent DNA helicase [EC:5.6.2.4]								DEAD/DEAH box helicase [PF00270.32]; Sec63 Brl domain [PF02889.19]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]					0
CP101161.1_CP101161.1_1036	CP101161.1	CP101161.1	1036	985692	987107	1	D										Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I [PF02878.19]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II [PF02879.19]; Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III [PF02880.19]; Phosphoglucomutase/phosphomannomutase, C-terminal domain [PF00408.23]					0
CP101161.1_CP101161.1_1037	CP101161.1	CP101161.1	1037	987108	987473	-1	D										Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) family [PF00583.28]; Nodulation protein A (NodA) [PF02474.18]					0
CP101161.1_CP101161.1_1038	CP101161.1	CP101161.1	1038	987571	987807	1	E															0
CP101161.1_CP101161.1_1039	CP101161.1	CP101161.1	1039	987809	988009	-1	C	K03154	sulfur carrier protein													0
CP101161.1_CP101161.1_1040	CP101161.1	CP101161.1	1040	988048	989085	-1	D										Polymer-forming cytoskeletal [PF04519.16]					0
CP101161.1_CP101161.1_1041	CP101161.1	CP101161.1	1041	989158	990168	-1	D										Polymer-forming cytoskeletal [PF04519.16]					0
CP101161.1_CP101161.1_1042	CP101161.1	CP101161.1	1042	990264	993368	1	C	K04801	replication factor C small subunit	MER0178855	N10	MER0178855 - family N10 unassigned peptide lyases (Pyrococcus horikoshii) [N10.UPW]#N10#{peptidase unit: 62-176, 535-587}~source BAA29181~	False	0.352	69.0	4.226e-10	Replication factor C C-terminal domain [PF08542.14]; DNA polymerase III, delta subunit [PF13177.9]; Intein splicing domain [PF14890.9]; LAGLIDADG-like domain [PF14528.9]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; Rad17 P-loop domain [PF03215.18]					0
CP101161.1_CP101161.1_1043	CP101161.1	CP101161.1	1043	993504	995369	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; GAF domain [PF13185.9]; GAF domain [PF13492.9]; His Kinase A (phospho-acceptor) domain [PF00512.28]; GAF domain [PF01590.29]					0
CP101161.1_CP101161.1_1044	CP101161.1	CP101161.1	1044	995527	998307	1	C	K01872	alanyl-tRNA synthetase [EC:6.1.1.7]								tRNA synthetases class II (A) [PF01411.22]; Threonyl and Alanyl tRNA synthetase second additional domain [PF07973.17]; DHHA1 domain [PF02272.22]					0
CP101161.1_CP101161.1_1045	CP101161.1	CP101161.1	1045	998304	999422	-1	D										Aminotransferase class-V [PF00266.22]					0
CP101161.1_CP101161.1_1046	CP101161.1	CP101161.1	1046	999489	1000232	1	D			MER0040618	S33	MER0040618 - family S33 non-peptidase homologues (Haloarcula marismortui) [S33.UNW]#S33#{peptidase unit: 2-252}~source YP_137060-1~	False	0.52	244.0	2.532e-71	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]					0
CP101161.1_CP101161.1_1047	CP101161.1	CP101161.1	1047	1000229	1000795	1	D										NUDIX domain [PF00293.31]					0
CP101161.1_CP101161.1_1048	CP101161.1	CP101161.1	1048	1000852	1001769	1	E															0
CP101161.1_CP101161.1_1049	CP101161.1	CP101161.1	1049	1001814	1002512	1	C	K01951	GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	MER0220008	C26	MER0220008 - family C26 unassigned peptidases (Halalkalicoccus jeotgali) [C26.UPW]#C26#{peptidase unit: 1-216}~source YP_003735423~	False	0.684	297.0	4.677e-90	Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]					0
CP101161.1_CP101161.1_1050	CP101161.1	CP101161.1	1050	1002467	1002979	-1	D										HPP family [PF04982.16]					0
CP101161.1_CP101161.1_1051	CP101161.1	CP101161.1	1051	1003085	1004248	1	C	K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6]								Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]					0
CP101161.1_CP101161.1_1052	CP101161.1	CP101161.1	1052	1004489	1005700	1	C	K01754	threonine dehydratase [EC:4.3.1.19]								Pyridoxal-phosphate dependent enzyme [PF00291.28]					0
CP101161.1_CP101161.1_1053	CP101161.1	CP101161.1	1053	1005840	1006700	-1	C	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]								Rhodanese-like domain [PF00581.23]					0
CP101161.1_CP101161.1_1054	CP101161.1	CP101161.1	1054	1006973	1007749	1	C	K01011	thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]								Rhodanese-like domain [PF00581.23]					0
CP101161.1_CP101161.1_1055	CP101161.1	CP101161.1	1055	1007739	1008737	-1	D										AI-2E family transporter [PF01594.19]					0
CP101161.1_CP101161.1_1056	CP101161.1	CP101161.1	1056	1008819	1009907	1	C	K02064	thiamine transport system substrate-binding protein								Bacterial extracellular solute-binding protein [PF13343.9]; Bacterial extracellular solute-binding protein [PF13416.9]; Bacterial extracellular solute-binding protein [PF13531.9]					0
CP101161.1_CP101161.1_1057	CP101161.1	CP101161.1	1057	1009864	1011705	1	C	K02063	thiamine transport system permease protein								Binding-protein-dependent transport system inner membrane component [PF00528.25]					0
CP101161.1_CP101161.1_1058	CP101161.1	CP101161.1	1058	1011698	1012741	1	C	K02052	putative spermidine/putrescine transport system ATP-binding protein								ABC transporter [PF00005.30]; TOBE domain [PF08402.13]; RecF/RecN/SMC N terminal domain [PF02463.22]					0
CP101161.1_CP101161.1_1059	CP101161.1	CP101161.1	1059	1012741	1013349	1	E															0
CP101161.1_CP101161.1_1060	CP101161.1	CP101161.1	1060	1013539	1014180	-1	E															0
CP101161.1_CP101161.1_1061	CP101161.1	CP101161.1	1061	1014177	1014821	-1	E															0
CP101161.1_CP101161.1_1062	CP101161.1	CP101161.1	1062	1015138	1015881	-1	C	K04802	proliferating cell nuclear antigen								Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]; Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]					0
CP101161.1_CP101161.1_1063	CP101161.1	CP101161.1	1063	1015999	1017009	-1	D										DNA polymerase III, delta subunit [PF13177.9]; Replication factor C C-terminal domain [PF08542.14]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; Bacterial dnaA  protein [PF00308.21]; Rad17 P-loop domain [PF03215.18]; AAA domain [PF13401.9]					0
CP101161.1_CP101161.1_1064	CP101161.1	CP101161.1	1064	1017053	1018402	-1	C	K03118	sec-independent protein translocase protein TatC								Sec-independent protein translocase protein (TatC) [PF00902.21]					0
CP101161.1_CP101161.1_1065	CP101161.1	CP101161.1	1065	1018521	1020788	1	C	K03118	sec-independent protein translocase protein TatC								Sec-independent protein translocase protein (TatC) [PF00902.21]					0
CP101161.1_CP101161.1_1066	CP101161.1	CP101161.1	1066	1020874	1021050	1	E															0
CP101161.1_CP101161.1_1067	CP101161.1	CP101161.1	1067	1021043	1021759	1	C	K09125	queuosine precursor transporter								Putative vitamin uptake transporter [PF02592.18]					0
CP101161.1_CP101161.1_1068	CP101161.1	CP101161.1	1068	1021756	1022214	-1	E															0
CP101161.1_CP101161.1_1069	CP101161.1	CP101161.1	1069	1022252	1023022	-1	C	K02427	23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]								FtsJ-like methyltransferase [PF01728.22]; TRAM domain [PF01938.23]; 16S rRNA methyltransferase RsmB/F [PF01189.20]					0
CP101161.1_CP101161.1_1070	CP101161.1	CP101161.1	1070	1023067	1024095	-1	C	K07446	tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]								Putative RNA methylase family UPF0020 [PF01170.21]; Conserved hypothetical protein 95 [PF03602.18]; ubiE/COQ5 methyltransferase family [PF01209.21]; N-6 DNA Methylase [PF02384.19]					0
CP101161.1_CP101161.1_1071	CP101161.1	CP101161.1	1071	1024216	1024779	1	C	K03120	transcription initiation factor TFIID TATA-box-binding protein								Transcription factor TFIID (or TATA-binding protein, TBP) [PF00352.24]					0
CP101161.1_CP101161.1_1072	CP101161.1	CP101161.1	1072	1024879	1025277	1	E															0
CP101161.1_CP101161.1_1073	CP101161.1	CP101161.1	1073	1025278	1026123	-1	C	K00765	ATP phosphoribosyltransferase [EC:2.4.2.17]								ATP phosphoribosyltransferase [PF01634.21]; HisG, C-terminal domain [PF08029.14]					0
CP101161.1_CP101161.1_1074	CP101161.1	CP101161.1	1074	1026182	1027249	1	D			MER0288153	M48B	MER0288153 - PAB0555-type putative peptidase (Haloterrigena limicola) [M48.010]#M48B#{peptidase unit: 127-386}~source ZP_21569633~	False	0.229	72.0	4.702e-12	Peptidase family M48 [PF01435.21]					0
CP101161.1_CP101161.1_1075	CP101161.1	CP101161.1	1075	1027246	1027620	-1	E															0
CP101161.1_CP101161.1_1076	CP101161.1	CP101161.1	1076	1027703	1028989	1	C	K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	MER0250981	M38	MER0250981 - family M38 non-peptidase homologues (Halopiger xanaduensis) [M38.UNW]#M38#{peptidase unit: 22-365}~source YP_004595776~	True	0.659	451.0	1.5329999999999999e-139	Amidohydrolase family [PF01979.23]; Amidohydrolase family [PF07969.14]; Adenosine deaminase [PF00962.25]					0
CP101161.1_CP101161.1_1077	CP101161.1	CP101161.1	1077	1029153	1030535	1	E															0
CP101161.1_CP101161.1_1078	CP101161.1	CP101161.1	1078	1030653	1031912	1	C	K01251	adenosylhomocysteinase [EC:3.13.2.1]								S-adenosyl-L-homocysteine hydrolase, NAD binding domain [PF00670.24]; S-adenosyl-L-homocysteine hydrolase [PF05221.20]; D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain [PF02826.22]					0
CP101161.1_CP101161.1_1079	CP101161.1	CP101161.1	1079	1031977	1032498	1	C	K03552	holliday junction resolvase Hjr [EC:3.1.21.10]								Archaeal holliday junction resolvase (hjc) [PF01870.21]					0
CP101161.1_CP101161.1_1080	CP101161.1	CP101161.1	1080	1032514	1033047	-1	E															0
CP101161.1_CP101161.1_1081	CP101161.1	CP101161.1	1081	1033285	1033485	1	E															0
CP101161.1_CP101161.1_1082	CP101161.1	CP101161.1	1082	1033502	1034530	-1	C	K18882	DNA primase large subunit								Eukaryotic and archaeal DNA primase, large subunit [PF04104.17]					0
CP101161.1_CP101161.1_1083	CP101161.1	CP101161.1	1083	1034829	1037258	-1	C	K10844	DNA excision repair protein ERCC-2 [EC:5.6.2.3]								Helicase C-terminal domain [PF13307.9]; DEAD_2 [PF06733.18]					0
CP101161.1_CP101161.1_1084	CP101161.1	CP101161.1	1084	1037361	1037522	1	D										Zinc ribbon domain [PF09723.13]; zinc-ribbon domain [PF13248.9]					0
CP101161.1_CP101161.1_1085	CP101161.1	CP101161.1	1085	1037581	1038138	1	C	K09164	uncharacterized protein								Protein of unknown function (DUF1684) [PF07920.14]					0
CP101161.1_CP101161.1_1086	CP101161.1	CP101161.1	1086	1038141	1039595	-1	D										Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
CP101161.1_CP101161.1_1087	CP101161.1	CP101161.1	1087	1039592	1040242	-1	C	K03499	trk/ktr system potassium uptake protein								TrkA-N domain [PF02254.21]; NAD(P)H-binding [PF13460.9]; NAD dependent epimerase/dehydratase family [PF01370.24]; FAD binding domain [PF01494.22]					0
CP101161.1_CP101161.1_1088	CP101161.1	CP101161.1	1088	1040338	1040757	-1	E															0
CP101161.1_CP101161.1_1089	CP101161.1	CP101161.1	1089	1040767	1041447	-1	D										NmrA-like family [PF05368.16]; NAD(P)H-binding [PF13460.9]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; NAD dependent epimerase/dehydratase family [PF01370.24]					0
CP101161.1_CP101161.1_1090	CP101161.1	CP101161.1	1090	1041663	1042325	1	D										HTH DNA binding domain [PF04967.15]					0
CP101161.1_CP101161.1_1091	CP101161.1	CP101161.1	1091	1042535	1043215	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08242.15]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methionine biosynthesis protein MetW [PF07021.15]; Protein of unknown function (DUF1698) [PF08003.14]; Methyltransferase small domain [PF05175.17]; O-methyltransferase domain [PF00891.21]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]					0
CP101161.1_CP101161.1_1092	CP101161.1	CP101161.1	1092	1043316	1043744	1	D										Putative integral membrane protein (DUF2391) [PF09622.13]					0
CP101161.1_CP101161.1_1093	CP101161.1	CP101161.1	1093	1043759	1044325	-1	C	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]								Endoribonuclease L-PSP [PF01042.24]					0
CP101161.1_CP101161.1_1094	CP101161.1	CP101161.1	1094	1044410	1045189	1	E															0
CP101161.1_CP101161.1_1095	CP101161.1	CP101161.1	1095	1045196	1045774	-1	D										KaiC [PF06745.16]					0
CP101161.1_CP101161.1_1096	CP101161.1	CP101161.1	1096	1045835	1046791	-1	C	K07163	uncharacterized protein								Zn-ribbon containing protein [PF09845.12]					0
CP101161.1_CP101161.1_1097	CP101161.1	CP101161.1	1097	1046791	1047177	-1	C	K09743	uncharacterized protein								Uncharacterized protein conserved in archaea (DUF2073) [PF09846.12]					0
CP101161.1_CP101161.1_1098	CP101161.1	CP101161.1	1098	1047174	1047815	-1	D										ADP-ribosylation factor family [PF00025.24]; Ras family [PF00071.25]; 50S ribosome-binding GTPase [PF01926.26]; MnmE helical domain [PF12631.10]; Signal recognition particle receptor beta subunit [PF09439.13]; AAA domain [PF13521.9]					0
CP101161.1_CP101161.1_1099	CP101161.1	CP101161.1	1099	1049462	1051141	1	C	K10725	archaeal cell division control protein 6								CDC6, C terminal winged helix domain [PF09079.14]					0
CP101161.1_CP101161.1_1100	CP101161.1	CP101161.1	1100	1051450	1053321	-1	C	K02035	peptide/nickel transport system substrate-binding protein								Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.25]					0
CP101161.1_CP101161.1_1101	CP101161.1	CP101161.1	1101	1053538	1053960	1	C	K06934	uncharacterized protein								Plants and Prokaryotes Conserved (PCC) domain [PF03479.18]					0
CP101161.1_CP101161.1_1102	CP101161.1	CP101161.1	1102	1053961	1059006	1	C	K02322	DNA polymerase II large subunit [EC:2.7.7.7]	MER0181425	N10	MER0181425 - intein-containing DNA polymerase II large subunit DP2 precursor Mername-AA282 (Halobacterium sp. NRC-1) [N10.006]#N10#{peptidase unit: 926-1121}~source AAG20443~	False	0.693	201.0	9.947e-50	DNA polymerase II large subunit DP2 [PF03833.16]; Intein splicing domain [PF14890.9]					0
CP101161.1_CP101161.1_1103	CP101161.1	CP101161.1	1103	1059164	1060270	-1	C	K10725	archaeal cell division control protein 6								AAA domain [PF13401.9]; AAA ATPase domain [PF13191.9]					0
CP101161.1_CP101161.1_1104	CP101161.1	CP101161.1	1104	1060392	1060805	-1	E															0
CP101161.1_CP101161.1_1105	CP101161.1	CP101161.1	1105	1060878	1062857	-1	D										MutS domain V [PF00488.24]					0
CP101161.1_CP101161.1_1106	CP101161.1	CP101161.1	1106	1062961	1063821	1	C	K06864	pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]								NAD synthase [PF02540.20]; tRNA methyl transferase HUP domain [PF03054.19]; PP-loop family [PF01171.23]; Asparagine synthase [PF00733.24]; Queuosine biosynthesis protein QueC [PF06508.16]					0
CP101161.1_CP101161.1_1107	CP101161.1	CP101161.1	1107	1063823	1064434	-1	D										Histidine phosphatase superfamily (branch 1) [PF00300.25]					0
CP101161.1_CP101161.1_1108	CP101161.1	CP101161.1	1108	1064526	1065467	1	C	K03644	lipoyl synthase [EC:2.8.1.8]								N-terminal domain of lipoyl synthase of Radical_SAM family [PF16881.8]					0
CP101161.1_CP101161.1_1109	CP101161.1	CP101161.1	1109	1065657	1066766	1	C	K00166	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]								Dehydrogenase E1 component [PF00676.23]; 1-deoxy-D-xylulose-5-phosphate synthase [PF13292.9]					0
CP101161.1_CP101161.1_1110	CP101161.1	CP101161.1	1110	1066770	1067750	1	C	K00167	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]								Transketolase, pyrimidine binding domain [PF02779.27]; Transketolase, C-terminal domain [PF02780.23]					0
CP101161.1_CP101161.1_1111	CP101161.1	CP101161.1	1111	1067753	1069333	1	D										2-oxoacid dehydrogenases acyltransferase (catalytic domain) [PF00198.26]; Biotin-requiring enzyme [PF00364.25]; e3 binding domain [PF02817.20]; Glycine cleavage H-protein [PF01597.22]					0
