gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf	manual_min_orf	manual_max_orf
LOAJ01000002.1_73	285	SUPERFAMILY	DNA clamp	33	148	1.43e-17	LOAJ01000002.1	73	40	66
LOAJ01000002.1_73	285	SUPERFAMILY	DNA clamp	149	282	1.96e-15	LOAJ01000002.1	73	40	66
LWLN01000003.1_5	180	Pfam	Homing endonuclease associated repeat	3	55	3.8e-21	LWLN01000003.1	5	8	33
LWLN01000003.1_5	180	Pfam	Homing endonuclease associated repeat	62	113	3e-16	LWLN01000003.1	5	8	33
LWLN01000003.1_5	180	Pfam	Homing endonuclease associated repeat	125	176	1.5e-18	LWLN01000003.1	5	8	33
LWLN01000003.1_30	314	FunFam	DNA helicase	111	158	2.2e-08	LWLN01000003.1	30	8	33
LWLN01000003.1_30	314	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	26	228	2.7e-22	LWLN01000003.1	30	8	33
NC_013748.1_35	349	SUPERFAMILY	Restriction endonuclease-like	23	138	6.43e-22	NC_013748.1	35	4	33
NC_013748.1_35	349	Pfam	Restriction endonuclease	19	134	1.1e-30	NC_013748.1	35	4	33
NC_013748.1_30	314	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	244	1e-25	NC_013748.1	30	4	33
NC_015659.1_83	315	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	281	4.7e-26	NC_015659.1	83	80	103
QKNW01000002.1_7	332	CDD	HLD_clamp_RarA	181	250	4.00329e-06	QKNW01000002.1	7	13	45
QKNW01000002.1_7	332	NCBIfam	orc1/cdc6 family replication initiation protein	3	322	5.7e-55	QKNW01000002.1	7	13	45
QKNW01000002.1_1	1341	SUPERFAMILY	Restriction endonuclease-like	1172	1323	3.11e-09	QKNW01000002.1	1	13	45
QKNW01000002.1_1	1341	PANTHER	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	5	1014	6.1e-81	QKNW01000002.1	1	13	45
QKNW01000002.1_1	1341	Pfam	UvrD-like helicase C-terminal domain	677	1009	1.9e-25	QKNW01000002.1	1	13	45
QKNW01000002.1_1	1341	Pfam	UvrD/REP helicase N-terminal domain	7	513	5.9e-45	QKNW01000002.1	1	13	45
QKNW01000002.1_19	237	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	10	171	1.6e-15	QKNW01000002.1	19	13	45
QKNW01000002.1_6	708	Pfam	DNA polymerase family B	291	651	1.9e-28	QKNW01000002.1	6	13	45
QKNW01000002.1_6	708	PANTHER	DNA POLYMERASE CATALYTIC SUBUNIT	291	675	2.1e-55	QKNW01000002.1	6	13	45
QKNW01000002.1_6	708	Gene3D	Palm domain of DNA polymerase	327	514	5.2e-50	QKNW01000002.1	6	13	45
QKNW01000002.1_6	708	SUPERFAMILY	DNA/RNA polymerases	284	688	2e-67	QKNW01000002.1	6	13	45
QKNW01000002.1_46	344	CDD	HLD_clamp_RarA	179	247	3.93332e-10	QKNW01000002.1	46	13	45
QPLN01000011.1_27	256	Pfam	HNH endonuclease	5	45	3.6e-09	QPLN01000011.1	27	1	10
RJJW01000001.1_47	316	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	24	251	3.6e-26	RJJW01000001.1	47	23	50
RJJW01000001.1_47	316	FunFam	DNA helicase	121	170	4.6e-08	RJJW01000001.1	47	23	50
RJJW01000001.1_52	419	SMART	Cdc6_C_2	331	415	1.3e-10	RJJW01000001.1	52	23	50
RJJW01000001.1_52	419	NCBIfam	orc1/cdc6 family replication initiation protein	35	404	1.3e-111	RJJW01000001.1	52	23	50
RJJW01000001.1_52	419	FunFam	ORC1-type DNA replication protein	220	314	1.4e-24	RJJW01000001.1	52	23	50
RJJW01000001.1_52	419	Pfam	CDC6, C terminal winged helix domain	331	413	7.8e-18	RJJW01000001.1	52	23	50
RJJW01000001.1_52	419	CDD	Cdc6_C	324	411	2.23113e-18	RJJW01000001.1	52	23	50
RJJW01000001.1_61	206	Pfam	HNH endonuclease	131	181	1.2e-09	RJJW01000001.1	61	23	50
SJER01000008.1_105	395	CDD	Cdc6_C	295	381	9.30358e-20	SJER01000008.1	105	122	148
SJER01000008.1_105	395	Pfam	CDC6, C terminal winged helix domain	302	384	6.3e-15	SJER01000008.1	105	122	148
SJER01000008.1_105	395	SMART	Cdc6_C_2	302	385	1.2e-13	SJER01000008.1	105	122	148
SJER01000008.1_105	395	FunFam	ORC1-type DNA replication protein	193	285	5.1e-25	SJER01000008.1	105	122	148
SJER01000008.1_105	395	NCBIfam	orc1/cdc6 family replication initiation protein	10	374	1.2e-117	SJER01000008.1	105	122	148
SJER01000008.1_145	317	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	27	229	2.1e-21	SJER01000008.1	145	122	148
SJER01000008.1_145	317	FunFam	DNA helicase	110	159	6.3e-09	SJER01000008.1	145	122	148
SRIF01000015.1_51	389	Pfam	LAGLIDADG DNA endonuclease family	42	171	1.4e-07	SRIF01000015.1	51	53	84
SRIF01000015.1_51	389	SUPERFAMILY	Homing endonucleases	34	160	1.87e-09	SRIF01000015.1	51	53	84
SRIF01000015.1_55	319	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	24	247	5.7e-17	SRIF01000015.1	55	53	84
WOWA01000007.1_27	211	Pfam	HNH endonuclease	141	183	3.6e-10	WOWA01000007.1	27	47	62
WPCC01000021.1_21	348	Pfam	HNH endonuclease	284	335	1.8e-07	WPCC01000021.1	21	15	29
WPCC01000021.1_21	348	Pfam	Homing endonuclease associated repeat	5	58	2.1e-20	WPCC01000021.1	21	15	29
WPCC01000021.1_21	348	Pfam	Homing endonuclease associated repeat	113	166	1.2e-21	WPCC01000021.1	21	15	29
WSZK01000033.1_46	727	PANTHER	DNA POLYMERASE CATALYTIC SUBUNIT	285	693	5.9e-55	WSZK01000033.1	46	17	41
WSZK01000033.1_46	727	Pfam	DNA polymerase family B	322	663	1e-29	WSZK01000033.1	46	17	41
WSZK01000033.1_46	727	SUPERFAMILY	DNA/RNA polymerases	288	704	4.23e-66	WSZK01000033.1	46	17	41
WSZK01000033.1_46	727	Gene3D	Palm domain of DNA polymerase	329	517	5.7e-50	WSZK01000033.1	46	17	41
WSZK01000033.1_20	352	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	36	299	4.8e-28	WSZK01000033.1	20	17	41
WSZK01000033.1_20	352	FunFam	DNA helicase	163	210	7.6e-07	WSZK01000033.1	20	17	41
WSZK01000033.1_41	393	Pfam	Homing endonuclease associated repeat	333	383	8.2e-10	WSZK01000033.1	41	17	41
WSZK01000033.1_43	334	NCBIfam	orc1/cdc6 family replication initiation protein	3	331	6.6e-55	WSZK01000033.1	43	17	41
WSZK01000033.1_43	334	CDD	HLD_clamp_RarA	192	250	1.83249e-08	WSZK01000033.1	43	17	41
