gene_id	gene_length	DB	annotation	hit_start	hit_end	evalue	contig	orf
CP025066.1_2964	397	NCBIfam	orc1/cdc6 family replication initiation protein	11	368	2.4e-110	CP025066.1	2964
CP025066.1_2964	397	FunFam	ORC1-type DNA replication protein	190	283	9.8e-23	CP025066.1	2964
CP025066.1_1592	129	Gene3D	Jelly Rolls	16	117	1.3e-12	CP025066.1	1592
CP025066.1_2245	349	PANTHER	DOUBLE-STRAND BREAK REPAIR RAD50 ATPASE, PUTATIVE-RELATED	24	94	2.3e-12	CP025066.1	2245
CP025066.1_168	130	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	27	122	1.54e-16	CP025066.1	168
CP025066.1_2999	433	CDD	Cdc6_C	329	416	8.62174e-19	CP025066.1	2999
CP025066.1_2999	433	NCBIfam	orc1/cdc6 family replication initiation protein	36	409	2.8e-117	CP025066.1	2999
CP025066.1_2999	433	Pfam	CDC6, C terminal winged helix domain	336	417	9.6e-19	CP025066.1	2999
CP025066.1_2999	433	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	321	422	1.28e-14	CP025066.1	2999
CP025066.1_2999	433	SMART	Cdc6_C_2	336	420	3.9e-15	CP025066.1	2999
CP025066.1_2999	433	FunFam	ORC1-type DNA replication protein	229	319	2.4e-23	CP025066.1	2999
CP025066.1_152	217	SUPERFAMILY	KorB DNA-binding domain-like	80	157	1.96e-07	CP025066.1	152
CP025066.1_2822	124	Pfam	HTH DNA binding domain	64	115	2.3e-15	CP025066.1	2822
CP025066.1_646	460	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	241	317	2.17e-06	CP025066.1	646
CP025066.1_2937	146	Gene3D	Beta Polymerase, domain 2	6	102	1.6e-16	CP025066.1	2937
CP025066.1_2937	146	Pfam	Polymerase beta, Nucleotidyltransferase	16	105	6.1e-13	CP025066.1	2937
CP025066.1_554	216	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	157	211	6.23e-07	CP025066.1	554
CP025066.1_2656	438	NCBIfam	DNA double-strand break repair protein Mre11	14	378	0	CP025066.1	2656
CP025066.1_677	314	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	84	148	6.92e-10	CP025066.1	677
CP025066.1_2297	326	NCBIfam	flap endonuclease-1	1	326	1.5e-115	CP025066.1	2297
CP025066.1_2297	326	PANTHER	FLAP ENDONUCLEASE FAMILY MEMBER	1	277	7.8e-49	CP025066.1	2297
CP025066.1_1703	243	Pfam	Homing endonuclease associated repeat	4	55	2.9e-21	CP025066.1	1703
CP025066.1_1703	243	Pfam	Homing endonuclease associated repeat	67	116	1.3e-22	CP025066.1	1703
CP025066.1_1703	243	Pfam	Homing endonuclease associated repeat	190	239	7.8e-17	CP025066.1	1703
CP025066.1_1703	243	Pfam	Homing endonuclease associated repeat	126	181	2.1e-17	CP025066.1	1703
CP025066.1_2667	137	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	1	53	6.03e-15	CP025066.1	2667
CP025066.1_1190	304	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	4	90	1.22e-19	CP025066.1	1190
CP025066.1_1317	710	Pfam	DNA polymerase family B	319	658	2.4e-22	CP025066.1	1317
CP025066.1_1317	710	SUPERFAMILY	DNA/RNA polymerases	287	689	2.28e-69	CP025066.1	1317
CP025066.1_1317	710	Gene3D	Palm domain of DNA polymerase	328	519	1.3e-50	CP025066.1	1317
CP025066.1_1317	710	PANTHER	DNA POLYMERASE CATALYTIC SUBUNIT	281	693	5.6e-56	CP025066.1	1317
CP025066.1_2258	1028	Pfam	UvrD/REP helicase N-terminal domain	260	703	2.1e-51	CP025066.1	2258
CP025066.1_2258	1028	PANTHER	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	820	924	3.4e-82	CP025066.1	2258
CP025066.1_2258	1028	Pfam	UvrD-like helicase C-terminal domain	840	910	1.1e-10	CP025066.1	2258
CP025066.1_268	157	Pfam	6-O-methylguanine DNA methyltransferase, DNA binding domain	81	142	4e-09	CP025066.1	268
CP025066.1_1696	215	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	40	105	7.79e-06	CP025066.1	1696
CP025066.1_2076	662	Pfam	Helicase conserved C-terminal domain	313	390	2.9e-06	CP025066.1	2076
CP025066.1_2076	662	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	423	512	2.39e-12	CP025066.1	2076
CP025066.1_2076	662	Pfam	DEAD/DEAH box helicase	27	177	6.9e-18	CP025066.1	2076
CP025066.1_2076	662	PANTHER	DNA POLYMERASE THETA, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G05260)-RELATED	6	633	0	CP025066.1	2076
CP025066.1_661	359	Pfam	Homing endonuclease associated repeat	63	116	3.5e-19	CP025066.1	661
CP025066.1_661	359	Pfam	Homing endonuclease associated repeat	125	177	1.9e-21	CP025066.1	661
CP025066.1_661	359	Pfam	Homing endonuclease associated repeat	303	355	2.1e-19	CP025066.1	661
CP025066.1_661	359	Pfam	Homing endonuclease associated repeat	243	295	2.3e-15	CP025066.1	661
CP025066.1_661	359	Pfam	Homing endonuclease associated repeat	4	56	8.1e-14	CP025066.1	661
CP025066.1_661	359	Pfam	Homing endonuclease associated repeat	187	237	3.3e-16	CP025066.1	661
CP025066.1_1038	79	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	29	70	8.19e-06	CP025066.1	1038
CP025066.1_879	291	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	16	107	6.25e-08	CP025066.1	879
CP025066.1_879	291	Gene3D	Endonuclease Chain A	131	288	4.4e-06	CP025066.1	879
CP025066.1_1832	219	Pfam	HTH DNA binding domain	150	202	2.8e-18	CP025066.1	1832
CP025066.1_1770	140	SUPERFAMILY	Restriction endonuclease-like	9	136	1.47e-30	CP025066.1	1770
CP025066.1_768	152	Pfam	Polymerase beta, Nucleotidyltransferase	24	114	4.5e-12	CP025066.1	768
CP025066.1_768	152	Gene3D	Beta Polymerase, domain 2	20	111	2e-13	CP025066.1	768
CP025066.1_509	177	SUPERFAMILY	lambda repressor-like DNA-binding domains	93	150	4.5e-13	CP025066.1	509
CP025066.1_1657	469	PANTHER	RAD25/XP-B DNA REPAIR HELICASE	63	462	3.2e-87	CP025066.1	1657
CP025066.1_1657	469	Pfam	Xeroderma pigmentosum group B helicase damage recognition domain	3	48	1.5e-13	CP025066.1	1657
CP025066.1_1657	469	Pfam	ERCC3/RAD25/XPB C-terminal helicase	326	461	1.3e-20	CP025066.1	1657
CP025066.1_1729	122	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	15	92	1.96e-08	CP025066.1	1729
CP025066.1_1326	230	Pfam	HTH DNA binding domain	171	222	2.7e-22	CP025066.1	1326
CP025066.1_723	237	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	14	105	1.27e-17	CP025066.1	723
CP025066.1_3232	230	Pfam	Polymerase beta, Nucleotidyltransferase	119	215	3.6e-12	CP025066.1	3232
CP025066.1_3232	230	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	35	99	1.21e-06	CP025066.1	3232
CP025066.1_3232	230	Gene3D	Beta Polymerase, domain 2	107	220	4.5e-16	CP025066.1	3232
CP025066.1_1833	936	SUPERFAMILY	DNA repair protein MutS, domain I	7	106	8.76e-28	CP025066.1	1833
CP025066.1_1833	936	SUPERFAMILY	DNA repair protein MutS, domain II	112	286	4.05e-28	CP025066.1	1833
CP025066.1_1833	936	PANTHER	DNA MISMATCH REPAIR PROTEIN MUTS FAMILY MEMBER	38	821	0	CP025066.1	1833
CP025066.1_1833	936	NCBIfam	DNA mismatch repair protein MutS	8	808	0	CP025066.1	1833
CP025066.1_1833	936	SUPERFAMILY	DNA repair protein MutS, domain III	273	575	2.49e-73	CP025066.1	1833
CP025066.1_1833	936	Gene3D	DNA repair protein MutS, domain I	3	110	1.3e-27	CP025066.1	1833
CP025066.1_1842	732	Pfam	Helicase C-terminal domain	521	688	6e-27	CP025066.1	1842
CP025066.1_1842	732	Gene3D	Bacterial XPD DNA helicase, FeS cluster domain	98	218	8.2e-62	CP025066.1	1842
CP025066.1_1842	732	PANTHER	DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER	9	685	5.2e-75	CP025066.1	1842
CP025066.1_2931	90	Gene3D	Beta Polymerase, domain 2	7	87	2.4e-07	CP025066.1	2931
CP025066.1_54	163	PANTHER	23S RRNA-SPECIFIC ENDONUCLEASE VAPC20	29	159	3.3e-34	CP025066.1	54
CP025066.1_517	104	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	10	101	1.79e-30	CP025066.1	517
CP025066.1_3255	233	Pfam	HTH DNA binding domain	172	223	2.7e-18	CP025066.1	3255
CP025066.1_3247	260	NCBIfam	DNA repair and recombination protein RadB	35	254	6.3e-75	CP025066.1	3247
CP025066.1_3247	260	PRINTS	DNA repair protein radA signature	228	254	2.6e-07	CP025066.1	3247
CP025066.1_3247	260	PRINTS	DNA repair protein radA signature	37	65	2.6e-07	CP025066.1	3247
CP025066.1_2368	807	Pfam	Helicase C-terminal domain	619	771	1.1e-19	CP025066.1	2368
CP025066.1_2368	807	PANTHER	DNA REPAIR DEAD HELICASE RAD3/XP-D SUBFAMILY MEMBER	19	770	8.2e-44	CP025066.1	2368
CP025066.1_1445	974	Pfam	DNA replication factor Dna2	86	236	1.5e-16	CP025066.1	1445
CP025066.1_1445	974	PANTHER	DNA2/NAM7 HELICASE FAMILY MEMBER	544	954	1.6e-90	CP025066.1	1445
CP025066.1_72	119	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	22	101	9.1e-19	CP025066.1	72
CP025066.1_92	253	SUPERFAMILY	lambda repressor-like DNA-binding domains	40	94	9.12e-10	CP025066.1	92
CP025066.1_663	1184	Pfam	UvrD/REP helicase N-terminal domain	39	405	1.2e-16	CP025066.1	663
CP025066.1_663	1184	PANTHER	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	17	862	1e-28	CP025066.1	663
CP025066.1_1730	254	PRINTS	DNA repair protein radA signature	14	42	1.1e-09	CP025066.1	1730
CP025066.1_1730	254	PRINTS	DNA repair protein radA signature	57	74	1.1e-09	CP025066.1	1730
CP025066.1_2257	256	Pfam	HNH endonuclease	112	158	1.1e-12	CP025066.1	2257
CP025066.1_994	118	PANTHER	RNA POLYMERASE RPB4	1	117	2.5e-30	CP025066.1	994
CP025066.1_994	118	Pfam	RNA polymerase Rpb4	13	117	2e-12	CP025066.1	994
CP025066.1_950	390	PANTHER	DNA PRIMASE SMALL SUBUNIT	24	332	3.6e-31	CP025066.1	950
CP025066.1_950	390	Pfam	DNA primase small subunit	100	320	1.5e-22	CP025066.1	950
CP025066.1_950	390	NCBIfam	eukaryotic-type DNA primase catalytic subunit PriS	6	340	3.9e-45	CP025066.1	950
CP025066.1_950	390	Gene3D	DNA primase, PRIM domain	1	388	2.5e-77	CP025066.1	950
CP025066.1_3311	705	Gene3D	Homing endonucleases	307	422	3e-25	CP025066.1	3311
CP025066.1_3311	705	SUPERFAMILY	Homing endonucleases	308	417	1.12e-19	CP025066.1	3311
CP025066.1_3	530	PANTHER	DNA POLYMERASE DELTA SUBUNIT 2	137	529	4.1e-64	CP025066.1	3
CP025066.1_3	530	FunFam	DNA polymerase II small subunit	260	530	1.6e-114	CP025066.1	3
CP025066.1_3	530	Pfam	DNA polymerase alpha/epsilon subunit B	278	474	2.3e-13	CP025066.1	3
CP025066.1_3205	122	Gene3D	Jelly Rolls	8	122	5e-24	CP025066.1	3205
CP025066.1_748	97	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	88	2.07e-19	CP025066.1	748
CP025066.1_1742	87	SUPERFAMILY	GIY-YIG endonuclease	1	72	3.14e-15	CP025066.1	1742
CP025066.1_991	351	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	4	80	4.18e-11	CP025066.1	991
CP025066.1_1481	221	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	3	64	1.37e-15	CP025066.1	1481
CP025066.1_1481	221	Pfam	Iron dependent repressor, N-terminal DNA binding domain	2	62	5.1e-19	CP025066.1	1481
CP025066.1_3149	213	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	143	200	1.02e-09	CP025066.1	3149
CP025066.1_1783	2264	Gene3D	Homing endonucleases	1233	1415	1.5e-30	CP025066.1	1783
CP025066.1_1783	2264	Gene3D	Homing endonucleases	1737	1937	7.8e-33	CP025066.1	1783
CP025066.1_1783	2264	SUPERFAMILY	Homing endonucleases	1833	1921	3.4e-13	CP025066.1	1783
CP025066.1_1783	2264	Pfam	DNA polymerase II large subunit DP2	7	977	0	CP025066.1	1783
CP025066.1_1783	2264	PANTHER	DNA POLYMERASE II LARGE SUBUNIT	6	544	0	CP025066.1	1783
CP025066.1_1783	2264	SUPERFAMILY	Homing endonucleases	1322	1435	7.23e-15	CP025066.1	1783
CP025066.1_504	783	PANTHER	HELICASE MJ1565-RELATED	288	436	7.2e-20	CP025066.1	504
CP025066.1_68	443	PANTHER	DNA REPAIR PROTEIN	15	117	1e-126	CP025066.1	68
CP025066.1_68	443	NCBIfam	DNA repair protein NreA	1	438	0	CP025066.1	68
CP025066.1_2478	68	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	8	67	6.4e-09	CP025066.1	2478
CP025066.1_2811	206	Pfam	HTH DNA binding domain	148	200	2.7e-19	CP025066.1	2811
CP025066.1_2003	213	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	124	179	3.33e-08	CP025066.1	2003
CP025066.1_2003	213	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	47	109	1.55e-08	CP025066.1	2003
CP025066.1_1641	260	Pfam	HhH-GPD superfamily base excision DNA repair protein	75	192	5e-14	CP025066.1	1641
CP025066.1_270	602	NCBIfam	DNA mismatch repair endonuclease MutL	86	383	5.9e-74	CP025066.1	270
CP025066.1_270	602	SMART	DNA_mis_repair_2	238	376	1.1e-27	CP025066.1	270
CP025066.1_270	602	SUPERFAMILY	DNA mismatch repair protein MutL	414	596	1.31e-41	CP025066.1	270
CP025066.1_270	602	PANTHER	DNA MISMATCH REPAIR PROTEIN  MLH, PMS, MUTL	408	585	1.2e-95	CP025066.1	270
CP025066.1_270	602	Pfam	DNA mismatch repair protein, C-terminal domain	272	375	4.2e-21	CP025066.1	270
CP025066.1_75	279	Pfam	Endonuclease V	77	266	1.7e-49	CP025066.1	75
CP025066.1_75	279	PANTHER	ENDONUCLEASE V	76	268	6.4e-36	CP025066.1	75
CP025066.1_75	279	CDD	Endonuclease_V	67	270	7.84787e-76	CP025066.1	75
CP025066.1_3303	698	Pfam	Helicase conserved C-terminal domain	456	556	3.5e-16	CP025066.1	3303
CP025066.1_1863	239	Pfam	HTH DNA binding domain	181	232	2.4e-18	CP025066.1	1863
CP025066.1_551	422	NCBIfam	RNA-guided endonuclease TnpB family protein	6	375	9.2e-78	CP025066.1	551
CP025066.1_551	422	Pfam	Putative transposase DNA-binding domain	307	374	8.4e-18	CP025066.1	551
CP025066.1_2051	174	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	89	2.51e-22	CP025066.1	2051
CP025066.1_1873	86	Pfam	'Cold-shock' DNA-binding domain	25	85	8.7e-18	CP025066.1	1873
CP025066.1_590	76	Pfam	RNA polymerase Rpb5, C-terminal domain	2	74	2.8e-25	CP025066.1	590
CP025066.1_590	76	SUPERFAMILY	RPB5-like RNA polymerase subunit	1	75	1.83e-21	CP025066.1	590
CP025066.1_590	76	PANTHER	DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC1	1	75	3.2e-12	CP025066.1	590
CP025066.1_2413	222	Pfam	HTH DNA binding domain	167	219	1.4e-14	CP025066.1	2413
CP025066.1_2625	386	PANTHER	HELICASE MJ1565-RELATED	28	379	4.5e-21	CP025066.1	2625
CP025066.1_2625	386	Pfam	Helicase HerA, central domain	18	232	1.1e-06	CP025066.1	2625
CP025066.1_1327	125	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	29	84	6.52e-09	CP025066.1	1327
CP025066.1_2936	119	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	26	80	1.81e-08	CP025066.1	2936
CP025066.1_1	620	FunFam	ORC1-type DNA replication protein	407	499	1.5e-32	CP025066.1	1
CP025066.1_1	620	Pfam	CDC6, C terminal winged helix domain	516	595	1.1e-22	CP025066.1	1
CP025066.1_1	620	NCBIfam	orc1/cdc6 family replication initiation protein	324	587	5.8e-105	CP025066.1	1
CP025066.1_1	620	FunFam	ORC1-type DNA replication protein	326	420	1.1e-60	CP025066.1	1
CP025066.1_1	620	CDD	Cdc6_C	509	594	2.9214e-30	CP025066.1	1
CP025066.1_1	620	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	500	607	1.45e-29	CP025066.1	1
CP025066.1_1	620	SMART	Cdc6_C_2	516	598	1.1e-33	CP025066.1	1
CP025066.1_166	421	Pfam	Putative transposase DNA-binding domain	313	382	3e-18	CP025066.1	166
CP025066.1_166	421	NCBIfam	RNA-guided endonuclease TnpB family protein	11	382	5.7e-53	CP025066.1	166
CP025066.1_3152	160	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	1	55	1.11e-10	CP025066.1	3152
CP025066.1_1323	135	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	27	93	7.49e-12	CP025066.1	1323
CP031299.1_112	104	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	85	8.03e-08	CP031299.1	112
CP031299.1_81	105	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	16	98	3.82e-17	CP031299.1	81
CP031299.1_122	180	Pfam	Homing endonuclease associated repeat	62	113	2e-17	CP031299.1	122
CP031299.1_122	180	Pfam	Homing endonuclease associated repeat	3	55	1.7e-18	CP031299.1	122
CP031299.1_122	180	Pfam	Homing endonuclease associated repeat	125	176	2.6e-17	CP031299.1	122
CP031299.1_29	313	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	8	241	9.6e-24	CP031299.1	29
CP031299.1_107	395	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	4	346	3.4e-20	CP031299.1	107
CP031299.1_110	103	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	41	87	1.56e-08	CP031299.1	110
CP031299.1_126	282	Pfam	HNH endonuclease	24	66	1.5e-09	CP031299.1	126
CP040639.1_78	105	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	8	101	2.89e-15	CP040639.1	78
CP040639.1_104	107	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	27	86	9.46e-08	CP040639.1	104
CP040639.1_121	96	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	89	2.79e-18	CP040639.1	121
CP040639.1_113	401	PANTHER	DNA REPLICATION LICENSING FACTOR MCM FAMILY MEMBER	9	359	1.8e-15	CP040639.1	113
CP040639.1_112	90	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	19	87	2.24e-06	CP040639.1	112
CP040639.1_82	122	SUPERFAMILY	Sigma3 and sigma4 domains of RNA polymerase sigma factors	14	62	9.94e-09	CP040639.1	82
CP058334.1_2125	270	FunFam	Replication protein A	175	270	3.8e-27	CP058334.1	2125
CP058334.1_437	133	Gene3D	Jelly Rolls	17	130	2.7e-17	CP058334.1	437
CP058334.1_1632	448	Gene3D	Poly(A) polymerase predicted RNA binding domain	273	428	1.2e-43	CP058334.1	1632
CP058334.1_1632	448	Gene3D	Beta Polymerase, domain 2	16	149	1.8e-81	CP058334.1	1632
CP058334.1_2620	928	Gene3D	Palm domain of DNA polymerase	491	740	7.1e-57	CP058334.1	2620
CP058334.1_2620	928	Pfam	DNA polymerase family B, exonuclease domain	79	401	1.5e-28	CP058334.1	2620
CP058334.1_2620	928	Gene3D	DNA Polymerase, chain B, domain 1	55	210	1.6e-20	CP058334.1	2620
CP058334.1_2620	928	PANTHER	DNA POLYMERASE CATALYTIC SUBUNIT	56	913	4.9e-130	CP058334.1	2620
CP058334.1_2620	928	Pfam	DNA polymerase family B	485	809	1e-46	CP058334.1	2620
CP058334.1_2620	928	PRINTS	DNA-directed DNA-polymerase family B signature	514	527	5.3e-09	CP058334.1	2620
CP058334.1_2620	928	PRINTS	DNA-directed DNA-polymerase family B signature	599	611	5.3e-09	CP058334.1	2620
CP058334.1_2620	928	PRINTS	DNA-directed DNA-polymerase family B signature	651	659	5.3e-09	CP058334.1	2620
CP058334.1_2620	928	SUPERFAMILY	DNA/RNA polymerases	484	923	2.78e-106	CP058334.1	2620
CP058334.1_2669	450	Pfam	Xeroderma pigmentosum group B helicase damage recognition domain	4	61	2.6e-16	CP058334.1	2669
CP058334.1_2669	450	Pfam	ERCC3/RAD25/XPB C-terminal helicase	331	450	1.2e-16	CP058334.1	2669
CP058334.1_2669	450	PANTHER	RAD25/XP-B DNA REPAIR HELICASE	49	449	3.6e-78	CP058334.1	2669
CP058334.1_886	115	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	7	69	2.01e-08	CP058334.1	886
CP058334.1_2202	789	Pfam	DEAD/DEAH box helicase	26	189	2.1e-24	CP058334.1	2202
CP058334.1_2202	789	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	412	504	4.35e-14	CP058334.1	2202
CP058334.1_2202	789	Pfam	Helicase conserved C-terminal domain	231	384	3.5e-07	CP058334.1	2202
CP058334.1_2202	789	PANTHER	DNA POLYMERASE THETA, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G05260)-RELATED	8	524	0	CP058334.1	2202
CP058334.1_370	406	SUPERFAMILY	DNA/RNA polymerases	12	259	4.71e-65	CP058334.1	370
CP058334.1_370	406	SUPERFAMILY	Lesion bypass DNA polymerase (Y-family), little finger domain	261	358	5.89e-16	CP058334.1	370
CP058334.1_370	406	PANTHER	DNA REPAIR POLYMERASE UMUC / TRANSFERASE FAMILY MEMBER	12	368	9e-79	CP058334.1	370
CP058334.1_1807	576	Gene3D	UvrC, RNAse H endonuclease domain	360	521	8.4e-45	CP058334.1	1807
CP058334.1_1807	576	SUPERFAMILY	GIY-YIG endonuclease	17	96	9.81e-17	CP058334.1	1807
CP058334.1_1807	576	Pfam	UvrC RNAse H endonuclease domain	371	512	1.4e-41	CP058334.1	1807
CP058334.1_1426	608	Pfam	RNA polymerase Rpb2, domain 5	91	124	1.6e-06	CP058334.1	1426
CP058334.1_1426	608	SUPERFAMILY	beta and beta-prime subunits of DNA dependent RNA-polymerase	7	606	0	CP058334.1	1426
CP058334.1_1426	608	NCBIfam	DNA-directed RNA polymerase subunit B	9	607	0	CP058334.1	1426
CP058334.1_1426	608	PANTHER	DNA-DIRECTED RNA POLYMERASE I SUBUNIT 2	7	601	0	CP058334.1	1426
CP058334.1_1426	608	Gene3D	RNA polymerase alpha subunit dimerisation domain	498	606	2.6e-38	CP058334.1	1426
CP058334.1_1426	608	Pfam	RNA polymerase Rpb2, domain 4	9	70	4.8e-22	CP058334.1	1426
CP058334.1_1426	608	FunFam	DNA-directed RNA polymerase subunit beta	351	497	1.1e-58	CP058334.1	1426
CP058334.1_1426	608	Pfam	RNA polymerase Rpb2, domain 7	513	604	1.7e-30	CP058334.1	1426
CP058334.1_1426	608	Pfam	RNA polymerase Rpb2, domain 6	139	511	2.4e-130	CP058334.1	1426
CP058334.1_1782	547	FunFam	DNA polymerase II small subunit	277	547	1.4e-117	CP058334.1	1782
CP058334.1_1782	547	PANTHER	DNA POLYMERASE DELTA SUBUNIT 2	223	546	3.6e-59	CP058334.1	1782
CP058334.1_1782	547	Pfam	DNA polymerase alpha/epsilon subunit B	295	491	2.4e-13	CP058334.1	1782
CP058334.1_377	176	SUPERFAMILY	lambda repressor-like DNA-binding domains	89	147	9.29e-14	CP058334.1	377
CP058334.1_1747	683	Pfam	Helicase conserved C-terminal domain	445	554	1.4e-15	CP058334.1	1747
CP058334.1_1429	139	Pfam	PD-(D/E)XK endonuclease	3	132	6.4e-47	CP058334.1	1429
CP058334.1_2466	130	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	16	115	2.35e-15	CP058334.1	2466
CP058334.1_2195	155	Gene3D	Jelly Rolls	7	141	1.3e-24	CP058334.1	2195
CP058334.1_2720	151	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	2	150	4.72e-45	CP058334.1	2720
CP058334.1_2870	137	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	30	124	2.2e-18	CP058334.1	2870
CP058334.1_1928	93	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	10	78	5.15e-11	CP058334.1	1928
CP058334.1_3393	108	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	8	106	8.98e-32	CP058334.1	3393
CP058334.1_2495	264	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	14	89	6.83e-11	CP058334.1	2495
CP058334.1_3309	182	SUPERFAMILY	lambda repressor-like DNA-binding domains	9	67	3.49e-13	CP058334.1	3309
CP058334.1_2663	96	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	5	96	7.07e-27	CP058334.1	2663
CP058334.1_1026	162	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	6	59	7.98e-11	CP058334.1	1026
CP058334.1_1201	234	Pfam	HTH DNA binding domain	173	224	1.2e-21	CP058334.1	1201
CP058334.1_2028	277	FunFam	Probable endonuclease 4	1	277	2.4e-86	CP058334.1	2028
CP058334.1_2028	277	PANTHER	ENDONUCLEASE IV  ENDODEOXYRIBONUCLEASE IV	2	276	2.6e-83	CP058334.1	2028
CP058334.1_1777	374	NCBIfam	orc1/cdc6 family replication initiation protein	13	361	1.1e-104	CP058334.1	1777
CP058334.1_1777	374	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	288	372	4.77e-21	CP058334.1	1777
CP058334.1_1777	374	SMART	Cdc6_C_2	300	372	5.1e-18	CP058334.1	1777
CP058334.1_1777	374	Pfam	CDC6, C terminal winged helix domain	324	370	8.5e-06	CP058334.1	1777
CP058334.1_2953	130	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	44	122	2.77e-19	CP058334.1	2953
CP058334.1_3194	953	Pfam	UvrD-like helicase C-terminal domain	393	543	6.9e-09	CP058334.1	3194
CP058334.1_3194	953	Pfam	UvrD-like helicase C-terminal domain	601	744	2.7e-18	CP058334.1	3194
CP058334.1_3194	953	PANTHER	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	12	770	2.5e-87	CP058334.1	3194
CP058334.1_3194	953	Pfam	UvrD/REP helicase N-terminal domain	14	369	4.6e-49	CP058334.1	3194
CP058334.1_857	161	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	66	128	1.43e-13	CP058334.1	857
CP058334.1_1172	675	Pfam	DEAD/DEAH box helicase	222	385	5.4e-22	CP058334.1	1172
CP058334.1_1172	675	PANTHER	DNA POLYMERASE THETA, PUTATIVE (AFU_ORTHOLOGUE AFUA_1G05260)-RELATED	465	661	7.9e-78	CP058334.1	1172
CP058334.1_1172	675	Pfam	Helicase conserved C-terminal domain	440	535	2.5e-13	CP058334.1	1172
CP058334.1_626	159	Gene3D	Jelly Rolls	6	152	3.9e-38	CP058334.1	626
CP058334.1_980	63	SUPERFAMILY	"""""Winged helix"""" DNA-binding domain"	4	58	1.49e-06	CP058334.1	980
CP058334.1_2018	840	Pfam	HTH DNA binding domain	770	821	3.3e-21	CP058334.1	2018
CP058334.1_3409	64	PANTHER	DNA-DIRECTED RNA POLYMERASES I, II, AND III SUBUNIT RPABC5 FAMILY MEMBER	1	64	6.1e-21	CP058334.1	3409
CP058334.1_3409	64	SUPERFAMILY	RNA polymerase subunit RPB10	1	64	7.98e-27	CP058334.1	3409
