cluster,cluster_annotation,contig,presence,gene_id,occurances
Cluster 74,ORF17,CP119801.1,1,CP119801.1_36,42
Cluster 75,"",RJJW01000001.1,1,RJJW01000001.1_27,1
Cluster 76,"",AOIR01000042.1,1,AOIR01000042.1_26,1
Cluster 77,"",CP101158.1,1,CP101158.1_105,1
Cluster 78,"",KX687704.1,1,KX687704.1_33,1
Cluster 79,ORF6,AOIR01000042.1,1,AOIR01000042.1_37,2
Cluster 79,ORF6,QKNW01000002.1,1,QKNW01000002.1_18,2
Cluster 80,"",CP019329.1,1,CP019329.1_76,1
Cluster 81,"",KX687704.1,1,KX687704.1_12,9
Cluster 81,"",KX906370.1,1,KX906370.1_93,9
Cluster 81,"",LOAJ01000002.1,1,LOAJ01000002.1_65,9
Cluster 81,"",AOLZ01000012.1,1,AOLZ01000012.1_8,9
Cluster 81,"",CP019286.1,1,CP019286.1_62,9
Cluster 81,"",AOLZ01000012.1,1,AOLZ01000012.1_13,9
Cluster 81,"",CP019286.1,1,CP019286.1_56,9
Cluster 81,"",CP019329.1,1,CP019329.1_89,9
Cluster 81,"",AOIO01000049.1,1,AOIO01000049.1_75,9
Cluster 82,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_32,1
Cluster 83,"",CP019329.1,1,CP019329.1_45,8
Cluster 83,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_23,8
Cluster 83,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_31,8
Cluster 83,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_23,8
Cluster 83,"",KX687704.1,1,KX687704.1_34,8
Cluster 83,"",NC_015659.1,1,NC_015659.1_78,8
Cluster 83,"",CP084476.1,1,CP084476.1_42,8
Cluster 83,"",CP101158.1,1,CP101158.1_102,8
Cluster 84,"",JAJCVI010000002.1,1,JAJCVI010000002.1_582,1
Cluster 85,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_3,1
Cluster 86,"",AOJE01000051.1,1,AOJE01000051.1_31,2
Cluster 86,"",KX906370.1,1,KX906370.1_85,2
Cluster 87,"",WSZK01000033.1,1,WSZK01000033.1_9,14
Cluster 87,"",SJER01000008.1,1,SJER01000008.1_149,14
Cluster 87,"",CP119801.1,1,CP119801.1_19,14
Cluster 87,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_35,14
Cluster 87,"",CP031299.1,1,CP031299.1_40,14
Cluster 87,"",JDTG01000019.1,1,JDTG01000019.1_113,14
Cluster 87,"",AOLZ01000012.1,1,AOLZ01000012.1_46,14
Cluster 87,"",CP019286.1,1,CP019286.1_23,14
Cluster 87,"",AOIP01000022.1,1,AOIP01000022.1_45,14
Cluster 87,"",LWLN01000003.1,1,LWLN01000003.1_42,14
Cluster 87,"",JAAOHU010000009.1,1,JAAOHU010000009.1_51,14
Cluster 87,"",NC_013748.1,1,NC_013748.1_37,14
Cluster 87,"",FNFE01000011.1,1,FNFE01000011.1_44,14
Cluster 87,"",CP095494.1,1,CP095494.1_63,14
Cluster 88,"",JAJCVI010000007.1,1,JAJCVI010000007.1_5,1
Cluster 89,"",CP084476.1,1,CP084476.1_76,5
Cluster 89,"",CP031299.1,1,CP031299.1_41,5
Cluster 89,"",JDTG01000019.1,1,JDTG01000019.1_114,5
Cluster 89,"",JAAOHU010000009.1,1,JAAOHU010000009.1_15,5
Cluster 89,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_15,5
Cluster 90,"",CP101161.1,1,CP101161.1_3048,1
Cluster 91,"",CP119801.1,1,CP119801.1_59,1
Cluster 92,"",FNFE01000011.1,1,FNFE01000011.1_15,1
Cluster 93,"",JAJCVI010000002.1,1,JAJCVI010000002.1_585,1
Cluster 94,"",CP101158.1,1,CP101158.1_64,1
Cluster 95,"",KX687704.1,1,KX687704.1_39,1
Cluster 96,"",QKNW01000002.1,1,QKNW01000002.1_10,1
Cluster 97,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_13,2
Cluster 97,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_5,2
Cluster 98,"",RJJW01000001.1,1,RJJW01000001.1_17,1
Cluster 99,ORF8,CP019329.1,1,CP019329.1_77,12
Cluster 99,ORF8,FNFE01000011.1,1,FNFE01000011.1_22,12
Cluster 99,ORF8,NC_015659.1,1,NC_015659.1_99,12
Cluster 99,ORF8,NC_013748.1,1,NC_013748.1_12,12
Cluster 99,ORF8,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_30,12
Cluster 99,ORF8,CP101158.1,1,CP101158.1_76,12
Cluster 99,ORF8,FNFE01000011.1,1,FNFE01000011.1_21,12
Cluster 99,ORF8,AOJE01000051.1,1,AOJE01000051.1_47,12
Cluster 99,ORF8,KX687704.1,1,KX687704.1_9,12
Cluster 99,ORF8,KX906370.1,1,KX906370.1_90,12
Cluster 99,ORF8,CP119801.1,1,CP119801.1_43,12
Cluster 99,ORF8,WSZK01000033.1,1,WSZK01000033.1_34,12
Cluster 100,"",AOIP01000022.1,1,AOIP01000022.1_46,1
Cluster 101,"",BBJN01000020.1,1,BBJN01000020.1_52,1
Cluster 102,"",AOIO01000049.1,1,AOIO01000049.1_82,1
Cluster 103,"",WSZK01000033.1,1,WSZK01000033.1_41,15
Cluster 103,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_8,15
Cluster 103,"",JAJCVI010000002.1,1,JAJCVI010000002.1_547,15
Cluster 103,"",QKNW01000002.1,1,QKNW01000002.1_45,15
Cluster 103,"",CP095494.1,1,CP095494.1_29,15
Cluster 103,"",BBJN01000020.1,1,BBJN01000020.1_28,15
Cluster 103,"",SJER01000008.1,1,SJER01000008.1_125,15
Cluster 103,"",CP084476.1,1,CP084476.1_84,15
Cluster 103,"",LWLN01000003.1,1,LWLN01000003.1_4,15
Cluster 103,"",JDTG01000019.1,1,JDTG01000019.1_72,15
Cluster 103,"",NC_013748.1,1,NC_013748.1_3,15
Cluster 103,"",AOIO01000049.1,1,AOIO01000049.1_84,15
Cluster 103,"",AOIP01000022.1,1,AOIP01000022.1_18,15
Cluster 103,"",CP119801.1,1,CP119801.1_54,15
Cluster 103,"",CP101158.1,1,CP101158.1_70,15
Cluster 104,"",CP100004.1,1,CP100004.1_13,1
Cluster 105,"",KX687704.1,1,KX687704.1_36,2
Cluster 105,"",KX906370.1,1,KX906370.1_118,2
Cluster 106,"",SRIF01000015.1,1,SRIF01000015.1_51,1
Cluster 107,"",AOLZ01000012.1,1,AOLZ01000012.1_10,5
Cluster 107,"",CP019286.1,1,CP019286.1_60,5
Cluster 107,"",FOXI01000018.1,1,FOXI01000018.1_33,5
Cluster 107,"",JAJCVI010000002.1,1,JAJCVI010000002.1_552,5
Cluster 107,"",JAANTI010000009.1,1,JAANTI010000009.1_21,5
Cluster 108,ORF10,NC_015659.1,1,NC_015659.1_96,12
Cluster 108,ORF10,LWLN01000003.1,1,LWLN01000003.1_16,12
Cluster 108,ORF10,CP119801.1,1,CP119801.1_42,12
Cluster 108,ORF10,CP084476.1,1,CP084476.1_66,12
Cluster 108,ORF10,CP031299.1,1,CP031299.1_15,12
Cluster 108,ORF10,JDTG01000019.1,1,JDTG01000019.1_88,12
Cluster 108,ORF10,CP099999.1,1,CP099999.1_38,12
Cluster 108,ORF10,CP019329.1,1,CP019329.1_72,12
Cluster 108,ORF10,AOIP01000022.1,1,AOIP01000022.1_24,12
Cluster 108,ORF10,AOIO01000049.1,1,AOIO01000049.1_95,12
Cluster 108,ORF10,CP095494.1,1,CP095494.1_37,12
Cluster 108,ORF10,FNFE01000011.1,1,FNFE01000011.1_24,12
Cluster 109,"",QKNW01000002.1,1,QKNW01000002.1_3,1
Cluster 110,"",SJER01000008.1,1,SJER01000008.1_141,15
Cluster 110,"",JAAOHU010000009.1,1,JAAOHU010000009.1_57,15
Cluster 110,"",JAJCVI010000007.1,1,JAJCVI010000007.1_27,15
Cluster 110,"",SRIF01000015.1,1,SRIF01000015.1_60,15
Cluster 110,"",CP095494.1,1,CP095494.1_49,15
Cluster 110,"",CP119801.1,1,CP119801.1_30,15
Cluster 110,"",CP101158.1,1,CP101158.1_89,15
Cluster 110,"",AOJE01000051.1,1,AOJE01000051.1_24,15
Cluster 110,"",NC_015659.1,1,NC_015659.1_87,15
Cluster 110,"",LWLN01000003.1,1,LWLN01000003.1_26,15
Cluster 110,"",CP019329.1,1,CP019329.1_62,15
Cluster 110,"",AOLZ01000012.1,1,AOLZ01000012.1_32,15
Cluster 110,"",CP019286.1,1,CP019286.1_37,15
Cluster 110,"",CP099999.1,1,CP099999.1_29,15
Cluster 110,"",FNFE01000011.1,1,FNFE01000011.1_35,15
Cluster 111,"",RJJW01000001.1,1,RJJW01000001.1_18,1
Cluster 112,"",WSZK01000033.1,1,WSZK01000033.1_8,1
Cluster 113,"",CP019329.1,1,CP019329.1_73,1
Cluster 114,ORF10,JAJCVI010000007.1,1,JAJCVI010000007.1_16,3
Cluster 114,ORF10,SJER01000008.1,1,SJER01000008.1_131,3
Cluster 114,ORF10,WSZK01000033.1,1,WSZK01000033.1_33,3
Cluster 115,"",CP095494.1,1,CP095494.1_57,1
Cluster 116,"",CP095494.1,1,CP095494.1_18,1
Cluster 117,ORF10,CP101158.1,1,CP101158.1_77,1
Cluster 118,"",AOIR01000042.1,1,AOIR01000042.1_41,2
Cluster 118,"",CP101161.1,1,CP101161.1_3053,2
Cluster 119,"",QKNW01000002.1,1,QKNW01000002.1_23,5
Cluster 119,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_25,5
Cluster 119,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_17,5
Cluster 119,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_29,5
Cluster 119,"",RJJW01000001.1,1,RJJW01000001.1_43,5
Cluster 120,ORF10,BBJN01000020.1,1,BBJN01000020.1_35,5
Cluster 120,ORF10,SRIF01000015.1,1,SRIF01000015.1_74,5
Cluster 120,ORF10,Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_39,5
Cluster 120,ORF10,FOXI01000018.1,1,FOXI01000018.1_52,5
Cluster 120,ORF10,JAANTI010000009.1,1,JAANTI010000009.1_3,5
Cluster 121,"",WSZK01000033.1,1,WSZK01000033.1_24,1
Cluster 122,"",CP084476.1,1,CP084476.1_73,9
Cluster 122,"",Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_42,9
Cluster 122,"",AOJE01000051.1,1,AOJE01000051.1_44,9
Cluster 122,"",JAAOHU010000009.1,1,JAAOHU010000009.1_1,9
Cluster 122,"",AOIO01000049.1,1,AOIO01000049.1_92,9
Cluster 122,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_12,9
Cluster 122,"",Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_4,9
Cluster 122,"",CP031299.1,1,CP031299.1_12,9
Cluster 122,"",JDTG01000019.1,1,JDTG01000019.1_85,9
Cluster 123,ORF10,JAAOHU010000009.1,1,JAAOHU010000009.1_67,2
Cluster 123,ORF10,CP100004.1,1,CP100004.1_4,2
Cluster 124,"",LWLN01000003.1,1,LWLN01000003.1_38,2
Cluster 124,"",NC_013748.1,1,NC_013748.1_32,2
Cluster 125,"",NC_013748.1,1,NC_013748.1_35,1
Cluster 126,"",SRIF01000015.1,1,SRIF01000015.1_63,1
Cluster 127,"",AOJE01000025.1,1,AOJE01000025.1_20,1
Cluster 128,ORF10,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_15,4
Cluster 128,ORF10,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_7,4
Cluster 128,ORF10,QKNW01000002.1,1,QKNW01000002.1_35,4
Cluster 128,ORF10,Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_16,4
Cluster 129,"",AOIP01000022.1,1,AOIP01000022.1_10,11
Cluster 129,"",AOLZ01000012.1,1,AOLZ01000012.1_11,11
Cluster 129,"",CP019286.1,1,CP019286.1_59,11
Cluster 129,"",QKNW01000002.1,1,QKNW01000002.1_46,11
Cluster 129,"",CP101158.1,1,CP101158.1_68,11
Cluster 129,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_13,11
Cluster 129,"",BBJN01000020.1,1,BBJN01000020.1_23,11
Cluster 129,"",JAJCVI010000002.1,1,JAJCVI010000002.1_546,11
Cluster 129,"",WSZK01000033.1,1,WSZK01000033.1_43,11
Cluster 129,"",QKNW01000002.1,1,QKNW01000002.1_7,11
Cluster 129,"",SRIF01000015.1,1,SRIF01000015.1_87,11
Cluster 130,"",AOIO01000049.1,1,AOIO01000049.1_109,19
Cluster 130,"",AOIP01000022.1,1,AOIP01000022.1_33,19
Cluster 130,"",CP100004.1,1,CP100004.1_16,19
Cluster 130,"",AOIR01000042.1,1,AOIR01000042.1_54,19
Cluster 130,"",CP031299.1,1,CP031299.1_25,19
Cluster 130,"",CP084476.1,1,CP084476.1_55,19
Cluster 130,"",JDTG01000019.1,1,JDTG01000019.1_98,19
Cluster 130,"",LOAJ01000002.1,1,LOAJ01000002.1_47,19
Cluster 130,"",NC_013748.1,1,NC_013748.1_26,19
Cluster 130,"",KX687704.1,1,KX687704.1_23,19
Cluster 130,"",KX906370.1,1,KX906370.1_104,19
Cluster 130,"",AOJE01000025.1,1,AOJE01000025.1_38,19
Cluster 130,"",BBJN01000020.1,1,BBJN01000020.1_44,19
Cluster 130,"",FOXI01000018.1,1,FOXI01000018.1_42,19
Cluster 130,"",JAANTI010000009.1,1,JAANTI010000009.1_13,19
Cluster 130,"",CP101161.1,1,CP101161.1_3066,19
Cluster 130,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_21,19
Cluster 130,"",JAJCVI010000002.1,1,JAJCVI010000002.1_568,19
Cluster 130,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_27,19
Cluster 131,ORF10,RJJW01000001.1,1,RJJW01000001.1_32,1
Cluster 132,"",AOLZ01000012.1,1,AOLZ01000012.1_5,2
Cluster 132,"",CP019286.1,1,CP019286.1_65,2
Cluster 133,ORF10,CP101161.1,1,CP101161.1_3058,5
Cluster 133,ORF10,JAJCVI010000002.1,1,JAJCVI010000002.1_560,5
Cluster 133,ORF10,AOJE01000025.1,1,AOJE01000025.1_30,5
Cluster 133,ORF10,AOIR01000042.1,1,AOIR01000042.1_46,5
Cluster 133,ORF10,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_29,5
Cluster 134,"",SRIF01000015.1,1,SRIF01000015.1_80,2
Cluster 134,"",QKNW01000002.1,1,QKNW01000002.1_42,2
Cluster 135,"",CP095494.1,1,CP095494.1_22,1
Cluster 136,"",AOLZ01000012.1,1,AOLZ01000012.1_42,2
Cluster 136,"",CP019286.1,1,CP019286.1_27,2
Cluster 137,"",BBJN01000020.1,1,BBJN01000020.1_56,1
Cluster 138,"",CP101158.1,1,CP101158.1_71,1
Cluster 139,"",SJER01000008.1,1,SJER01000008.1_145,13
Cluster 139,"",RJJW01000001.1,1,RJJW01000001.1_47,13
Cluster 139,"",AOIO01000049.1,1,AOIO01000049.1_113,13
Cluster 139,"",AOIP01000022.1,1,AOIP01000022.1_37,13
Cluster 139,"",NC_015659.1,1,NC_015659.1_83,13
Cluster 139,"",LWLN01000003.1,1,LWLN01000003.1_30,13
Cluster 139,"",NC_013748.1,1,NC_013748.1_30,13
Cluster 139,"",CP031299.1,1,CP031299.1_29,13
Cluster 139,"",CP084476.1,1,CP084476.1_51,13
Cluster 139,"",JDTG01000019.1,1,JDTG01000019.1_102,13
Cluster 139,"",AOLZ01000012.1,1,AOLZ01000012.1_36,13
Cluster 139,"",CP019286.1,1,CP019286.1_33,13
Cluster 139,"",QKNW01000002.1,1,QKNW01000002.1_19,13
Cluster 140,"",LWLN01000003.1,1,LWLN01000003.1_9,1
Cluster 141,"",JAJCVI010000002.1,1,JAJCVI010000002.1_583,1
Cluster 142,"",RJJW01000001.1,1,RJJW01000001.1_20,1
Cluster 143,"",AOIR01000042.1,1,AOIR01000042.1_22,2
Cluster 143,"",AOIR01000042.1,1,AOIR01000042.1_23,2
Cluster 144,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_5,1
Cluster 145,"",CP101158.1,1,CP101158.1_100,1
Cluster 146,"",AOIO01000049.1,1,AOIO01000049.1_81,1
Cluster 147,"",AOJE01000025.1,1,AOJE01000025.1_55,1
Cluster 148,"",Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_39,4
Cluster 148,"",SRIF01000015.1,1,SRIF01000015.1_73,4
Cluster 148,"",CP031299.1,1,CP031299.1_11,4
Cluster 148,"",JDTG01000019.1,1,JDTG01000019.1_84,4
Cluster 149,"",CP101158.1,1,CP101158.1_94,1
Cluster 150,"",AOJE01000025.1,1,AOJE01000025.1_16,1
Cluster 151,"",AOJE01000025.1,1,AOJE01000025.1_43,1
Cluster 152,"",BBJN01000020.1,1,BBJN01000020.1_60,1
Cluster 153,"",CP084476.1,1,CP084476.1_67,1
Cluster 154,"",JAJCVI010000007.1,1,JAJCVI010000007.1_3,1
Cluster 155,"",CP019329.1,1,CP019329.1_90,1
Cluster 156,"",NC_013748.1,1,NC_013748.1_4,1
Cluster 157,"",QKNW01000002.1,1,QKNW01000002.1_54,1
Cluster 158,"",KX687704.1,1,KX687704.1_37,2
Cluster 158,"",JAAOHU010000009.1,1,JAAOHU010000009.1_48,2
Cluster 159,"",CP019329.1,1,CP019329.1_53,14
Cluster 159,"",AOLZ01000012.1,1,AOLZ01000012.1_37,14
Cluster 159,"",CP019286.1,1,CP019286.1_32,14
Cluster 159,"",CP084476.1,1,CP084476.1_49,14
Cluster 159,"",LWLN01000003.1,1,LWLN01000003.1_33,14
Cluster 159,"",SRIF01000015.1,1,SRIF01000015.1_47,14
Cluster 159,"",CP031299.1,1,CP031299.1_31,14
Cluster 159,"",JDTG01000019.1,1,JDTG01000019.1_104,14
Cluster 159,"",Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_37,14
Cluster 159,"",CP031299.1,1,CP031299.1_34,14
Cluster 159,"",JDTG01000019.1,1,JDTG01000019.1_107,14
Cluster 159,"",CP119801.1,1,CP119801.1_21,14
Cluster 159,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_44,14
Cluster 159,"",CP019286.1,1,CP019286.1_26,14
Cluster 160,"",JAJCVI010000007.1,1,JAJCVI010000007.1_19,6
Cluster 160,"",CP119801.1,1,CP119801.1_40,6
Cluster 160,"",SJER01000008.1,1,SJER01000008.1_133,6
Cluster 160,"",JAAOHU010000009.1,1,JAAOHU010000009.1_65,6
Cluster 160,"",CP095494.1,1,CP095494.1_40,6
Cluster 160,"",SRIF01000015.1,1,SRIF01000015.1_71,6
Cluster 161,"",AOJE01000051.1,1,AOJE01000051.1_49,1
Cluster 162,"",CP101161.1,1,CP101161.1_3078,1
Cluster 163,"",JAJCVI010000007.1,1,JAJCVI010000007.1_10,1
Cluster 164,"",QKNW01000002.1,1,QKNW01000002.1_9,1
Cluster 165,"",AOJE01000025.1,1,AOJE01000025.1_45,1
Cluster 166,"",LOAJ01000002.1,1,LOAJ01000002.1_73,2
Cluster 166,"",KX906370.1,1,KX906370.1_73,2
Cluster 167,"",CP095494.1,1,CP095494.1_19,1
Cluster 168,"",JDTG01000019.1,1,JDTG01000019.1_77,1
Cluster 169,ORF8,CP019329.1,1,CP019329.1_78,14
Cluster 169,ORF8,CP095494.1,1,CP095494.1_36,14
Cluster 169,ORF8,NC_015659.1,1,NC_015659.1_100,14
Cluster 169,ORF8,AOLZ01000012.1,1,AOLZ01000012.1_21,14
Cluster 169,ORF8,CP019286.1,1,CP019286.1_48,14
Cluster 169,ORF8,NC_013748.1,1,NC_013748.1_11,14
Cluster 169,ORF8,LOAJ01000002.1,1,LOAJ01000002.1_59,14
Cluster 169,ORF8,AOIO01000049.1,1,AOIO01000049.1_90,14
Cluster 169,ORF8,CP084476.1,1,CP084476.1_74,14
Cluster 169,ORF8,JDTG01000019.1,1,JDTG01000019.1_83,14
Cluster 169,ORF8,AOIP01000022.1,1,AOIP01000022.1_23,14
Cluster 169,ORF8,CP099999.1,1,CP099999.1_39,14
Cluster 169,ORF8,JAAOHU010000009.1,1,JAAOHU010000009.1_2,14
Cluster 169,ORF8,CP031299.1,1,CP031299.1_10,14
Cluster 170,"",BBJN01000020.1,1,BBJN01000020.1_20,1
Cluster 171,ORF8,RJJW01000001.1,1,RJJW01000001.1_30,18
Cluster 171,ORF8,SJER01000008.1,1,SJER01000008.1_129,18
Cluster 171,ORF8,JAJCVI010000007.1,1,JAJCVI010000007.1_15,18
Cluster 171,ORF8,AOIR01000042.1,1,AOIR01000042.1_45,18
Cluster 171,ORF8,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_3,18
Cluster 171,ORF8,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_11,18
Cluster 171,ORF8,QKNW01000002.1,1,QKNW01000002.1_39,18
Cluster 171,ORF8,LWLN01000003.1,1,LWLN01000003.1_15,18
Cluster 171,ORF8,Gairdner_NODE_107,1,Gairdner_NODE_107_length_49922_cov_74.384603_14,18
Cluster 171,ORF8,CP101161.1,1,CP101161.1_3057,18
Cluster 171,ORF8,Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_43,18
Cluster 171,ORF8,AOJE01000025.1,1,AOJE01000025.1_29,18
Cluster 171,ORF8,CP100004.1,1,CP100004.1_2,18
Cluster 171,ORF8,BBJN01000020.1,1,BBJN01000020.1_34,18
Cluster 171,ORF8,JAJCVI010000002.1,1,JAJCVI010000002.1_559,18
Cluster 171,ORF8,FOXI01000018.1,1,FOXI01000018.1_53,18
Cluster 171,ORF8,JAANTI010000009.1,1,JAANTI010000009.1_2,18
Cluster 171,ORF8,SRIF01000015.1,1,SRIF01000015.1_77,18
Cluster 172,"",CP101158.1,1,CP101158.1_96,1
Cluster 173,"",AOJE01000051.1,1,AOJE01000051.1_52,1
Cluster 174,"",AOIR01000042.1,1,AOIR01000042.1_35,1
Cluster 175,"",NC_013748.1,1,NC_013748.1_13,2
Cluster 175,"",CP019329.1,1,CP019329.1_75,2
Cluster 176,"",JAJCVI010000007.1,1,JAJCVI010000007.1_38,1
Cluster 177,"",AOJE01000051.1,1,AOJE01000051.1_43,1
Cluster 178,"",AOIR01000042.1,1,AOIR01000042.1_25,1
Cluster 179,"",AOJE01000051.1,1,AOJE01000051.1_12,1
Cluster 180,"",AOJE01000051.1,1,AOJE01000051.1_16,2
Cluster 180,"",CP084476.1,1,CP084476.1_68,2
Cluster 181,"",QKNW01000002.1,1,QKNW01000002.1_15,1
Cluster 182,"",BBJN01000020.1,1,BBJN01000020.1_18,1
Cluster 183,"",LOAJ01000002.1,1,LOAJ01000002.1_38,1
Cluster 184,"",RJJW01000001.1,1,RJJW01000001.1_25,3
Cluster 184,"",CP101161.1,1,CP101161.1_3082,3
Cluster 184,"",CP095494.1,1,CP095494.1_58,3
Cluster 185,"",AOIR01000042.1,1,AOIR01000042.1_30,1
Cluster 186,"",CP101158.1,1,CP101158.1_81,6
Cluster 186,"",AOJE01000051.1,1,AOJE01000051.1_35,6
Cluster 186,"",KX687704.1,1,KX687704.1_14,6
Cluster 186,"",KX906370.1,1,KX906370.1_95,6
Cluster 186,"",LOAJ01000002.1,1,LOAJ01000002.1_55,6
Cluster 186,"",AOIP01000022.1,1,AOIP01000022.1_26,6
Cluster 187,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_4,1
Cluster 188,"",SJER01000008.1,1,SJER01000008.1_112,1
Cluster 189,"",KX906370.1,1,KX906370.1_119,1
Cluster 190,"",NC_015659.1,1,NC_015659.1_75,1
Cluster 191,"",CP084476.1,1,CP084476.1_38,2
Cluster 191,"",NC_015659.1,1,NC_015659.1_72,2
Cluster 192,"",CP084476.1,1,CP084476.1_63,12
Cluster 192,"",CP019329.1,1,CP019329.1_70,12
Cluster 192,"",LWLN01000003.1,1,LWLN01000003.1_19,12
Cluster 192,"",AOLZ01000012.1,1,AOLZ01000012.1_23,12
Cluster 192,"",CP019286.1,1,CP019286.1_46,12
Cluster 192,"",CP095494.1,1,CP095494.1_39,12
Cluster 192,"",FNFE01000011.1,1,FNFE01000011.1_27,12
Cluster 192,"",NC_015659.1,1,NC_015659.1_94,12
Cluster 192,"",NC_013748.1,1,NC_013748.1_18,12
Cluster 192,"",CP031299.1,1,CP031299.1_17,12
Cluster 192,"",JDTG01000019.1,1,JDTG01000019.1_90,12
Cluster 192,"",CP099999.1,1,CP099999.1_36,12
Cluster 193,"",AOJE01000051.1,1,AOJE01000051.1_41,3
Cluster 193,"",SRIF01000015.1,1,SRIF01000015.1_75,3
Cluster 193,"",CP084476.1,1,CP084476.1_69,3
Cluster 194,ORF21,JAJCVI010000007.1,1,JAJCVI010000007.1_26,21
Cluster 194,ORF21,Eyre_NODE_236,1,Eyre_NODE_236_length_33155_cov_19.932_30,21
Cluster 194,ORF21,Eyresouth_NODE_101,1,Eyresouth_NODE_101_length_48437_cov_7.17035_24,21
Cluster 194,ORF21,Frome_NODE_383,1,Frome_NODE_383_length_24936_cov_4.316346_16,21
Cluster 194,ORF21,SJER01000008.1,1,SJER01000008.1_140,21
Cluster 194,ORF21,JAAOHU010000009.1,1,JAAOHU010000009.1_58,21
Cluster 194,ORF21,CP119801.1,1,CP119801.1_31,21
Cluster 194,ORF21,CP095494.1,1,CP095494.1_48,21
Cluster 194,ORF21,Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_22,21
Cluster 194,ORF21,SRIF01000015.1,1,SRIF01000015.1_61,21
Cluster 194,ORF21,CP019329.1,1,CP019329.1_63,21
Cluster 194,ORF21,AOLZ01000012.1,1,AOLZ01000012.1_31,21
Cluster 194,ORF21,CP019286.1,1,CP019286.1_38,21
Cluster 194,ORF21,CP099999.1,1,CP099999.1_30,21
Cluster 194,ORF21,FNFE01000011.1,1,FNFE01000011.1_34,21
Cluster 194,ORF21,LWLN01000003.1,1,LWLN01000003.1_25,21
Cluster 194,ORF21,CP084476.1,1,CP084476.1_56,21
Cluster 194,ORF21,NC_015659.1,1,NC_015659.1_88,21
Cluster 194,ORF21,AOIR01000042.1,1,AOIR01000042.1_53,21
Cluster 194,ORF21,CP031299.1,1,CP031299.1_24,21
Cluster 194,ORF21,JDTG01000019.1,1,JDTG01000019.1_97,21
Cluster 195,ORF6,CP031299.1,1,CP031299.1_4,1
Cluster 196,"",RJJW01000001.1,1,RJJW01000001.1_31,1
Cluster 197,"",CP019329.1,1,CP019329.1_88,2
Cluster 197,"",AOIO01000049.1,1,AOIO01000049.1_76,2
Cluster 198,"",KX906370.1,1,KX906370.1_117,2
Cluster 198,"",AOJE01000051.1,1,AOJE01000051.1_6,2
Cluster 199,"",Gairdner_NODE_167,1,Gairdner_NODE_167_length_41210_cov_9.888325_28,3
Cluster 199,"",JAJCVI010000002.1,1,JAJCVI010000002.1_561,3
Cluster 199,"",CP101161.1,1,CP101161.1_3059,3
Cluster 200,"",JAAOHU010000009.1,1,JAAOHU010000009.1_6,8
Cluster 200,"",CP099999.1,1,CP099999.1_42,8
Cluster 200,"",CP101158.1,1,CP101158.1_73,8
Cluster 200,"",AOIO01000049.1,1,AOIO01000049.1_88,8
